"animal_id","name","datetime","monthyear","date_of_birth","outcome_type","outcome_subtype","animal_type","sex_upon_outcome","age_upon_outcome","breed","color"
"A827084","*Mina Jiro","2021-01-08T12:24:00.000","2021-01-08T12:24:00.000","2019-12-12T00:00:00.000","Adoption","Foster","Cat","Spayed Female","1 year","Domestic Shorthair","Tortie/Tortie"
"A821282","*Mouse","2021-01-08T12:19:00.000","2021-01-08T12:19:00.000","2017-08-07T00:00:00.000","Adoption",,"Dog","Spayed Female","3 years","Pit Bull","Blue"
"A819962","*Toby","2021-01-08T12:18:00.000","2021-01-08T12:18:00.000","2020-02-08T00:00:00.000","Adoption","Foster","Cat","Neutered Male","11 months","Domestic Shorthair","Brown Tabby"
"A748768","Abby","2021-01-08T12:13:00.000","2021-01-08T12:13:00.000","2017-03-06T00:00:00.000","Adoption","Foster","Dog","Spayed Female","3 years","Plott Hound Mix","Brown Brindle/White"
"A828023",,"2021-01-08T12:05:00.000","2021-01-08T12:05:00.000","2020-01-05T00:00:00.000","Transfer","Partner","Bird","Unknown","1 year","Chicken","Brown"
"A827713",,"2021-01-08T12:05:00.000","2021-01-08T12:05:00.000","2019-12-29T00:00:00.000","Transfer","Partner","Bird","Intact Male","1 year","Chicken","Red"
"A828022",,"2021-01-08T12:05:00.000","2021-01-08T12:05:00.000","2020-01-05T00:00:00.000","Transfer","Partner","Bird","Unknown","1 year","Chicken","Brown"
"A827197","*Marianna","2021-01-08T11:58:00.000","2021-01-08T11:58:00.000","2020-06-16T00:00:00.000","Adoption",,"Cat","Spayed Female","6 months","Domestic Shorthair","Brown Tabby"
"A828066",,"2021-01-08T11:56:00.000","2021-01-08T11:56:00.000","2019-01-06T00:00:00.000","Transfer","Partner","Dog","Intact Male","2 years","Papillon/Chihuahua Longhair","White/Tricolor"
"A784348","Charley","2021-01-08T11:23:00.000","2021-01-08T11:23:00.000","2018-05-14T00:00:00.000","Adoption",,"Dog","Neutered Male","2 years","Labrador Retriever/Pit Bull","Brown/White"
"A828116",,"2021-01-08T09:44:00.000","2021-01-08T09:44:00.000","2020-01-08T00:00:00.000","Euthanasia","Rabies Risk","Other","Unknown","1 year","Fox","Brown/Black"
"A827536","*Bones","2021-01-07T18:05:00.000","2021-01-07T18:05:00.000","2017-12-24T00:00:00.000","Adoption",,"Dog","Neutered Male","3 years","German Shepherd Mix","White"
"A827972","*Owen","2021-01-07T17:38:00.000","2021-01-07T17:38:00.000","2020-10-06T00:00:00.000","Adoption",,"Dog","Neutered Male","3 months","Pointer Mix","White/Blue Tick"
"A827898","*Charlie","2021-01-07T17:24:00.000","2021-01-07T17:24:00.000","2020-08-12T00:00:00.000","Adoption",,"Dog","Spayed Female","4 months","Border Collie/Australian Cattle Dog","White/Black"
"A828106","Asher","2021-01-07T17:19:00.000","2021-01-07T17:19:00.000","2020-01-07T00:00:00.000","Return to Owner",,"Dog","Neutered Male","1 year","Labrador Retriever Mix","Black/White"
"A828107","Luna","2021-01-07T17:18:00.000","2021-01-07T17:18:00.000","2017-01-07T00:00:00.000","Return to Owner",,"Dog","Spayed Female","4 years","Great Dane Mix","Black/White"
"A827910","*Barkley","2021-01-07T16:23:00.000","2021-01-07T16:23:00.000","2019-01-03T00:00:00.000","Transfer","Partner","Dog","Neutered Male","2 years","Chihuahua Shorthair","Brown"
